# string sports;categorie;url image
Char a cerf volant/à glace/à neige/ Kart à voile;Cerf volant;https://img2.freepng.fr/20180329/ooe/kisspng-kite-drawing-handicraft-carnival-child-kite-5abd6b06e360a5.5209896715223631429313.jpg
Chute assis;Autres;https://img2.freepng.fr/20180421/qpq/kisspng-women-s-sports-larraul-silhouette-volleyball-cheering-crowd-silhouette-5adb1a405176c6.2960229015243085443337.jpg
Chute inversée;Autres;https://img2.freepng.fr/20180421/qpq/kisspng-women-s-sports-larraul-silhouette-volleyball-cheering-crowd-silhouette-5adb1a405176c6.2960229015243085443337.jpg
Cible Mobile / Carabine 300m;Tir;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Shooting_pictogram.svg/1200px-Shooting_pictogram.svg.png
Compak sporting;Autres;https://img2.freepng.fr/20180421/qpq/kisspng-women-s-sports-larraul-silhouette-volleyball-cheering-crowd-silhouette-5adb1a405176c6.2960229015243085443337.jpg
Concours complet;Autres;https://img2.freepng.fr/20180421/qpq/kisspng-women-s-sports-larraul-silhouette-volleyball-cheering-crowd-silhouette-5adb1a405176c6.2960229015243085443337.jpg
Course camarguaise;Course;https://ascollege.files.wordpress.com/2015/11/course-picto.png
Course d'orientation - Pédestre;Course;https://ascollege.files.wordpress.com/2015/11/course-picto.png
Course d'orientation - Ski;Sport de glisse - montagne;https://cdn.pixabay.com/photo/2014/04/03/00/27/mountain-308357_960_720.png
Course d'orientation - Vtt;Course;https://ascollege.files.wordpress.com/2015/11/course-picto.png
Course d'orientation (Autres);Course;https://ascollege.files.wordpress.com/2015/11/course-picto.png
Course en ligne;Course;https://ascollege.files.wordpress.com/2015/11/course-picto.png
Course et marche sur route (hors stade);Course;https://ascollege.files.wordpress.com/2015/11/course-picto.png
Course landaise;Course;https://ascollege.files.wordpress.com/2015/11/course-picto.png
Course sur le plat;Athlétisme;https://svgsilh.com/png-1024/309595.png
Course sur piste;Athlétisme;https://svgsilh.com/png-1024/309595.png
Cricket;Sport de boule;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Boules_sports_pictogram.svg/1200px-Boules_sports_pictogram.svg.png
Crocket;Sport de boule;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Boules_sports_pictogram.svg/1200px-Boules_sports_pictogram.svg.png
Cross canin (Cani-Cross   Cani VTT   Ski Joering Canin);Sport de glisse - montagne;https://cdn.pixabay.com/photo/2014/04/03/00/27/mountain-308357_960_720.png
Cross country;Autres;https://img2.freepng.fr/20180421/qpq/kisspng-women-s-sports-larraul-silhouette-volleyball-cheering-crowd-silhouette-5adb1a405176c6.2960229015243085443337.jpg
Culturisme;Musculation;https://cdn0.iconfinder.com/data/icons/vector-black-hotel-icons/256/fitness_room-512.png
Curling;Patinoire;https://mpng.subpng.com/20180703/cpw/kisspng-ice-skating-speed-skating-roller-skating-ice-skate-5b3b2a3f180702.1315196915306040950984.jpg
Cyclisme en salle;Cyclisme;https://cdn.pixabay.com/photo/2012/04/24/18/13/bicycle-40756_960_720.png
Cyclisme sur piste;Cyclisme;https://cdn.pixabay.com/photo/2012/04/24/18/13/bicycle-40756_960_720.png
Cyclocross;Cyclisme;https://cdn.pixabay.com/photo/2012/04/24/18/13/bicycle-40756_960_720.png
Cyclotourisme;Cyclisme;https://cdn.pixabay.com/photo/2012/04/24/18/13/bicycle-40756_960_720.png
Danse (Autres);Danse;https://pngimage.net/wp-content/uploads/2018/05/danse-logo-png-3.png
Danses par Couple (Danses de compétition);Danse;https://pngimage.net/wp-content/uploads/2018/05/danse-logo-png-3.png
Deltaplane;Sport extrême;https://vamus.com.br/wp-content/themes/rsmjr/assets/app/icon-asadelta.png
Descente;Sport extrême;https://vamus.com.br/wp-content/themes/rsmjr/assets/app/icon-asadelta.png
Double dutch;Autres;https://img2.freepng.fr/20180421/qpq/kisspng-women-s-sports-larraul-silhouette-volleyball-cheering-crowd-silhouette-5adb1a405176c6.2960229015243085443337.jpg
Dressage;Equitation;https://www.icone-png.com/png/52/51604.png
Duathlon;Athlétisme;https://svgsilh.com/png-1024/309595.png
Dériveur / Multicoques / Courses océaniques / au large / Voile modèle / traditionnelle /match racing;Sport nautique;https://pngimg.com/uploads/canoe/canoe_PNG102.png
Echecs;Autres;https://img2.freepng.fr/20180421/qpq/kisspng-women-s-sports-larraul-silhouette-volleyball-cheering-crowd-silhouette-5adb1a405176c6.2960229015243085443337.jpg
